"No.","Time","Source","Destination","Protocol","Length","Info"
"3768","36.080478","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3769","36.080478","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3770","36.080478","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3771","36.080555","192.168.1.104","212.156.184.18","UDP","78","58960  >  443 Len=36"
"3772","36.080584","192.168.1.104","212.156.184.18","UDP","78","58960  >  443 Len=36"
"3773","36.082790","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3774","36.082790","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3775","36.082898","192.168.1.104","212.156.184.18","UDP","78","58960  >  443 Len=36"
"3776","36.082926","192.168.1.104","212.156.184.18","UDP","78","58960  >  443 Len=36"
"3777","36.083674","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3778","36.083674","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3779","36.083674","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3780","36.083674","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3781","36.084710","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3782","36.085890","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3783","36.085963","192.168.1.104","212.156.184.18","UDP","78","58960  >  443 Len=36"
"3784","36.086604","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3785","36.086604","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3786","36.087964","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3787","36.089763","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3788","36.089763","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3789","36.089909","192.168.1.104","212.156.184.18","UDP","78","58960  >  443 Len=36"
"3790","36.090099","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3791","36.090099","212.156.184.18","192.168.1.104","UDP","70","443  >  58960 Len=28"
"3792","36.090331","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3793","36.090331","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3794","36.091643","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3795","36.091643","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3796","36.091643","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3797","36.091643","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3798","36.091643","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3799","36.091643","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3800","36.091765","192.168.1.104","212.156.184.18","UDP","78","58960  >  443 Len=36"
"3801","36.092925","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3802","36.094562","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3803","36.094683","192.168.1.104","212.156.184.18","UDP","78","58960  >  443 Len=36"
"3804","36.096217","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3805","36.096917","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3806","36.096917","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3807","36.097466","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3808","36.097963","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3809","36.099693","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3810","36.099792","192.168.1.104","212.156.184.18","UDP","78","58960  >  443 Len=36"
"3811","36.101101","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3812","36.101101","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3813","36.101101","142.251.140.14","192.168.1.104","UDP","74","443  >  53603 Len=32"
"3814","36.103891","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3815","36.103891","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3816","36.103891","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3817","36.103891","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3818","36.104007","192.168.1.104","212.156.184.18","UDP","78","58960  >  443 Len=36"
"3819","36.104733","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3820","36.104733","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3821","36.104733","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3822","36.104733","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3823","36.107349","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3824","36.107349","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3825","36.107429","192.168.1.104","212.156.184.18","UDP","78","58960  >  443 Len=36"
"3826","36.109798","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3827","36.109798","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3828","36.109798","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3829","36.109798","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3830","36.109956","192.168.1.104","212.156.184.18","UDP","78","58960  >  443 Len=36"
"3831","36.110011","192.168.1.104","142.251.140.14","UDP","75","53603  >  443 Len=33"
"3832","36.111367","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3833","36.111367","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3834","36.111367","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3835","36.111367","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3836","36.111367","142.251.140.14","192.168.1.104","UDP","68","443  >  53603 Len=26"
"3837","36.111367","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3838","36.111367","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3839","36.111815","192.168.1.104","212.156.184.18","UDP","78","58960  >  443 Len=36"
"3840","36.112355","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3841","36.112355","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
