"No.","Time","Source","Destination","Protocol","Length","Info"
"4938","12.391831","192.168.1.105","212.156.184.13","QUIC","76","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4939","12.410332","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4940","12.410332","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4941","12.410332","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4942","12.410332","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4943","12.410332","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4944","12.414452","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4945","12.414452","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4946","12.414452","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4947","12.414452","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4948","12.414452","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4949","12.414452","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4950","12.414452","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4951","12.414452","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4952","12.414452","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4953","12.414452","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4954","12.414452","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4955","12.414452","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4956","12.414452","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4957","12.414787","192.168.1.105","212.156.184.13","QUIC","75","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4958","12.415080","192.168.1.105","212.156.184.13","QUIC","75","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4959","12.422910","192.168.1.105","212.156.184.13","QUIC","76","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4960","12.423936","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4961","12.423936","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4962","12.423936","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4963","12.423936","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4964","12.423936","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4965","12.423936","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4966","12.423936","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4967","12.423936","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4968","12.423936","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4969","12.423936","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4970","12.423936","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4971","12.423936","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4972","12.424235","192.168.1.105","212.156.184.13","QUIC","77","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4973","12.424278","192.168.1.105","212.156.184.13","QUIC","77","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4974","12.424296","192.168.1.105","212.156.184.13","QUIC","77","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4975","12.429081","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4976","12.429081","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4977","12.429081","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4978","12.429081","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4979","12.429081","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4980","12.429081","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4981","12.429081","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4982","12.429081","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4983","12.429081","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4984","12.429081","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4985","12.429081","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4986","12.429081","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4987","12.429453","192.168.1.105","212.156.184.13","QUIC","77","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4988","12.429658","192.168.1.105","212.156.184.13","QUIC","77","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4989","12.434680","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4990","12.434680","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4991","12.434680","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4992","12.434680","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
